gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,tenure_group,HasInternet,NumServices,ContractMonths,IsMonthToMonth,ContractProgress,HasPhoneService,InternetService_Fiber optic,InternetService_No,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Contract_One year,Contract_Two year,fiber_contract_risk,price_tenure_risk,early_customer,price_stress,fiber_new_customer,Churn_Probability,Prediction,Risk_Level,Recommended_Action
1,0,0,0,52,1,1,0,1,0,0,0,0,1,80.2,4297.6,6,1,1,12,0,1.0,0,1,0,0,0,1,1,0,0,1.5132075471698112,0,0.0,0,0.1403975120534008,0,Low,No action
1,0,1,1,33,1,1,0,0,0,0,0,0,0,24.25,838.5,4,0,0,1,1,0.0,0,0,1,0,0,0,0,0,0,0.7132352941176471,0,24.25,0,0.067196937772159,0,Low,No action
0,0,1,1,10,0,0,1,1,1,1,0,1,0,53.7,521.0,1,1,5,24,0,0.4166666666666667,0,0,0,1,0,0,0,1,0,4.881818181818182,0,0.0,0,0.019187118152635393,0,Low,No action
0,0,0,0,1,1,0,0,1,0,0,0,1,1,85.0,85.0,0,1,2,1,1,0.0,0,1,0,0,1,0,0,0,1,42.5,1,85.0,1,0.9072066145236878,1,High,Priority retention call
0,0,1,1,52,0,0,0,1,1,1,1,0,0,50.2,2554.0,6,1,4,24,0,1.0,0,0,0,0,0,1,0,1,0,0.9471698113207547,0,0.0,0,0.0224904214559387,0,Low,No action
1,1,0,0,16,1,1,0,0,0,0,1,1,1,96.4,1581.2,2,1,2,1,1,0.0,0,1,0,0,1,0,0,0,1,5.670588235294118,0,96.4,0,0.6771446027157154,1,High,Priority retention call
1,0,1,0,18,1,0,0,0,0,1,0,0,1,50.3,908.75,3,1,1,1,1,0.0,0,0,0,0,0,1,0,0,0,2.647368421052631,0,50.3,0,0.13306335074164685,0,Low,No action
0,0,1,1,63,1,1,1,1,1,1,1,1,1,89.4,5597.65,7,1,6,24,0,1.0,0,0,0,1,0,0,0,1,0,1.396875,0,0.0,0,0.0224904214559387,0,Low,No action
0,1,1,1,24,1,1,1,0,0,0,0,0,1,79.85,1857.75,4,1,1,1,1,0.0,0,1,0,0,1,0,0,0,1,3.194,0,79.85,0,0.408546012919623,1,Medium,Send engagement offer
1,0,0,0,9,1,0,1,0,0,0,0,0,1,74.85,708.2,1,1,1,1,1,0.0,0,1,0,0,1,0,0,0,1,7.484999999999999,0,74.85,0,0.5019681860390004,1,Medium,Send engagement offer
1,0,0,0,1,1,1,0,0,0,0,1,0,1,84.6,84.6,0,1,1,1,1,0.0,0,1,0,0,1,0,0,0,1,42.3,1,84.6,1,1.0,1,High,Priority retention call
0,0,1,0,46,0,0,1,0,1,1,0,0,0,40.4,1842.7,5,1,3,24,0,1.0,0,0,0,1,0,0,0,1,0,0.8595744680851063,0,0.0,0,0.019187118152635393,0,Low,No action
1,1,0,0,26,1,0,0,0,0,0,1,1,1,91.25,2351.8,4,1,2,1,1,0.0,0,1,0,0,1,0,0,0,1,3.3796296296296293,0,91.25,0,0.5830568112743038,1,Medium,Send engagement offer
0,0,0,0,1,1,0,0,0,0,0,0,0,1,19.3,19.3,0,0,0,1,1,0.0,0,0,1,0,0,1,0,0,0,9.65,1,19.3,0,0.30812375767003714,1,Medium,Send engagement offer
0,0,1,1,68,1,0,1,1,1,0,1,1,1,105.25,7173.15,7,1,5,24,0,1.0,0,1,0,0,0,0,0,1,0,1.5253623188405798,0,0.0,0,0.0414703425229741,0,Low,No action
0,0,0,0,37,1,1,1,0,0,0,1,0,1,91.15,3369.25,5,1,2,1,1,0.0,0,1,0,0,1,0,0,0,1,2.3986842105263158,0,91.15,0,0.36963343317643704,1,Medium,Send engagement offer
0,0,1,0,50,1,1,1,0,1,0,1,1,1,103.95,5231.3,6,1,4,12,0,1.0,0,1,0,0,1,0,1,0,0,2.038235294117647,0,0.0,0,0.31252578838785733,1,Medium,Send engagement offer
1,0,0,0,36,1,0,0,1,0,0,1,1,1,94.8,3565.65,5,1,3,1,1,0.0,0,1,0,1,0,0,0,0,1,2.562162162162162,0,94.8,0,0.34284517660198244,1,Medium,Send engagement offer
0,0,0,0,4,1,0,0,0,0,0,0,0,0,19.95,68.2,0,0,0,12,0,0.3333333333333333,0,0,1,0,0,1,1,0,0,3.99,1,0.0,0,0.0224904214559387,0,Low,No action
0,1,0,0,14,1,0,0,0,0,0,1,1,0,90.45,1266.1,2,1,2,1,1,0.0,0,1,0,1,0,0,0,0,1,6.03,0,90.45,0,0.5132239133185753,1,Medium,Send engagement offer
0,1,1,1,1,1,0,0,0,0,1,0,0,1,49.25,49.25,0,1,1,1,1,0.0,0,0,0,1,0,0,0,0,0,24.625,1,49.25,0,0.5132570667111538,1,Medium,Send engagement offer
1,1,0,0,72,1,1,0,1,1,1,1,1,0,111.65,7943.45,8,1,5,24,0,1.0,0,1,0,0,1,0,0,1,0,1.5294520547945205,0,0.0,0,0.0792848498600711,0,Low,No action
0,0,1,1,7,0,0,1,0,1,1,0,1,0,49.65,305.55,1,1,4,24,0,0.2916666666666667,0,0,0,1,0,0,0,1,0,6.20625,0,0.0,0,0.019187118152635393,0,Low,No action
